id,displayName,description,specialization,isMembershipLimitedToOwners,visibility,isArchived,createdDateTime
5f869549-357d-40ab-8ada-dfb393839520,"UNI | Saúde Coletiva e Políticas Públicas em Saúde | Ter | Mat | ENF0059 (BR), ENF0061 (BN), ENF0063 (BN)","UNI | Saúde Coletiva e Políticas Públicas em Saúde | Ter | Mat | ENF0059 (BR), ENF0061 (BN), ENF0063 (BN)",educationClass,False,hiddenMembership,True,2020-11-24T00:26:48.953Z
f3b3a6ed-c35e-4b21-9c4e-15636e0a2588,UNI | Fisio Hospitalar | FIS0011 (BN),UNI | Fisio Hospitalar | FIS0011 (BN),educationClass,True,hiddenMembership,True,2020-11-24T21:07:13.212Z
1db8b991-5521-413e-937c-e5afcfc15e8f,TCC2 - Sexta 27 11,TCC2 - Sexta 27 11,educationClass,False,hiddenMembership,False,2020-11-25T13:55:27.066Z
83a90029-9ca6-4461-a933-45c984fa44ff,ESI0916,ESI0916,educationClass,False,hiddenMembership,False,2020-11-25T18:18:12.84Z
a1bf4346-0ffe-4a43-9cb3-97be205d67de,MPC0081 - Porto Alegre/RS,MPC0081 - Porto Alegre/RS,educationClass,False,hiddenMembership,False,2020-11-26T22:58:56.441Z
b76b9dbd-2a59-44b9-a0a5-134f5eb3c639,EAD Brusque,EAD Brusque,educationStaff,False,private,False,2020-12-02T17:12:22.224Z
920b1108-58bb-4203-a4bd-e19416c252d9,Projeto Next Frontier - CRM,Projeto Next Frontier - CRM,educationStandard,False,private,False,2020-12-04T18:57:05.645Z
43829314-4eb1-4feb-8918-454b6b89dac7,DIC0253 - BLUMENAU/SC,DIC0253 - BLUMENAU/SC,educationClass,False,hiddenMembership,False,2020-12-08T20:48:34.284Z
1f0df481-5aab-47a0-8fe7-2f8c03395dd1,ADP0692 - Porto Alegre/RS,ADP0692 - Porto Alegre/RS,educationClass,False,hiddenMembership,False,2020-12-08T20:48:34.383Z
25d54824-5aae-4a4a-8772-1d26ccad8bec,MKD0314 - Manaus/AM - Chapada,MKD0314 - Manaus/AM - Chapada,educationClass,True,hiddenMembership,True,2020-12-08T20:50:58.526Z
3f2777e4-5e54-4fca-9c8f-a51a1e39a168,ADF0394 - CAPÃO DA CANOA/RS,ADF0394 - CAPÃO DA CANOA/RS,educationClass,False,hiddenMembership,False,2020-12-08T20:50:58.389Z
a859d223-caec-4810-95e8-1562830dcb78,CGP0102 - Canoas/RS,CGP0102 - Canoas/RS,educationClass,False,hiddenMembership,False,2020-12-08T20:50:58.178Z
03bd107e-cb85-48cd-a037-9aa2f5768ba0,AFL0670 - IMBITUBA/SC,AFL0670 - IMBITUBA/SC,educationClass,True,hiddenMembership,False,2020-12-08T20:50:58.287Z
031226d8-477e-4a22-9edd-22a969a3309b,ENI0043 - Ituporanga/SC,ENI0043 - Ituporanga/SC,educationClass,False,hiddenMembership,False,2020-12-08T20:50:58.511Z
6202b270-03bc-4477-9995-52e1981b8293,PSC0976 - Porto Alegre/RS,PSC0976 - Porto Alegre/RS,educationClass,False,hiddenMembership,False,2020-12-08T20:50:58.813Z
a2bfb427-ae3b-4c37-949b-89d508dd1613,NEP0869 - Manaus/AM - Chapada,NEP0869 - Manaus/AM - Chapada,educationClass,False,hiddenMembership,False,2020-12-08T21:26:10.691Z
19632fd1-b933-4df6-8883-82b0f9020e4e,Expedição - Uniasselvi,Ticket#47373132,educationStandard,False,private,False,2021-01-08T20:24:08.358Z
1ad311b2-8792-43ee-bc3d-f342381ecb95,"Professores Eng Mec, Prod e Ctrl Auto","Professores Eng Mec, Prod e Ctrl Auto",educationClass,False,hiddenMembership,False,2021-01-14T22:46:03.354Z
ed43bec1-d73b-4971-b073-784dc4e0bd2c,PSC0983 - SANTO ANTONIO DE JESUS/BA,PSC0983 - SANTO ANTONIO DE JESUS/BA,educationClass,False,hiddenMembership,False,2021-01-14T23:29:02.914Z
